hall_id,hall_name,model_name,machine_num,diff_mai,games,bb,rb,condition
260000700000004312,アミューズ千葉,,967,+1994,7701,38,15,
260000700000004312,アミューズ千葉,,968,+986,7574,32,23,
260000700000004312,アミューズ千葉,,969,+968,7510,35,14,
260000700000004312,アミューズ千葉,,970,+335,8390,39,11,
260000700000004312,アミューズ千葉,,925,+494,7009,50,21,
260000700000004312,アミューズ千葉,,926,+503,7481,49,31,
260000700000004312,アミューズ千葉,,927,+2537,7563,53,41,
260000700000004312,アミューズ千葉,,1112,-2185,6706,0,20,
260000700000004312,アミューズ千葉,,1113,+844,6516,0,13,
260000700000004312,アミューズ千葉,,1114,+7351,6157,0,17,
260000700000004312,アミューズ千葉,,1115,+2171,5531,0,16,
260000700000004312,アミューズ千葉,,1116,+1613,5724,0,14,
260000700000004312,アミューズ千葉,,741,-1060,6105,0,23,
260000700000004312,アミューズ千葉,,742,+1769,6770,0,21,
260000700000004312,アミューズ千葉,,743,+5918,5664,0,20,
260000700000004312,アミューズ千葉,,744,+2159,5874,0,25,
260000700000004312,アミューズ千葉,,745,+3799,6128,0,20,
260000700000004312,アミューズ千葉,,746,-427,6012,0,17,
260000700000004312,アミューズ千葉,,747,+968,5609,0,17,
260000700000004312,アミューズ千葉,,748,-3076,5905,0,23,
260000700000004312,アミューズ千葉,,749,-1357,6476,0,21,
260000700000004312,アミューズ千葉,,750,+213,6522,0,26,
260000700000004312,アミューズ千葉,,751,-3396,6959,0,32,
260000700000004312,アミューズ千葉,,752,+10804,5985,0,18,
260000700000004312,アミューズ千葉,,753,+2933,6443,0,26,
260000700000004312,アミューズ千葉,,754,+1838,5650,0,16,
260000700000004312,アミューズ千葉,,755,+1380,6113,0,19,
260000700000004312,アミューズ千葉,,964,+130,6623,28,25,
260000700000004312,アミューズ千葉,,965,+3619,6538,38,28,
260000700000004312,アミューズ千葉,,966,+1508,5437,27,21,
260000700000004312,アミューズ千葉,,702,+3164,8161,0,53,
260000700000004312,アミューズ千葉,,703,+7401,9044,0,57,
260000700000004312,アミューズ千葉,,704,+4223,7630,0,49,
260000700000004312,アミューズ千葉,,1094,+9745,6566,0,14,
260000700000004312,アミューズ千葉,,1095,-3033,5353,0,13,
260000700000004312,アミューズ千葉,,1096,+182,6775,0,17,
260000700000004312,アミューズ千葉,,1097,+4888,6970,0,14,
260000700000004312,アミューズ千葉,,1098,+209,6635,0,17,
260000700000004312,アミューズ千葉,,1099,+347,5772,0,16,
260000700000004312,アミューズ千葉,,1100,-457,6867,0,20,
260000700000004312,アミューズ千葉,,1101,+768,6367,0,20,
260000700000004312,アミューズ千葉,,1102,-4474,6490,0,13,
260000700000004312,アミューズ千葉,,1103,-3684,7642,0,25,
260000700000004312,アミューズ千葉,,1104,+5623,6760,0,16,
260000700000004312,アミューズ千葉,,1105,+3478,6202,0,17,
260000700000004312,アミューズ千葉,,1106,+194,6856,0,17,
260000700000004312,アミューズ千葉,,1107,+8401,5958,0,13,
260000700000004312,アミューズ千葉,,1108,+2136,7507,0,15,
260000700000004312,アミューズ千葉,,1109,-1867,4957,0,12,
260000700000004312,アミューズ千葉,,1110,+4096,6125,0,16,
260000700000004312,アミューズ千葉,,1111,+1920,6488,0,13,
260000700000004312,アミューズ千葉,,980,-1095,7586,26,18,
260000700000004312,アミューズ千葉,,981,+2617,7401,40,14,
260000700000004312,アミューズ千葉,,982,+1674,7186,36,16,
260000700000004312,アミューズ千葉,,983,+1531,8403,37,22,
260000700000004312,アミューズ千葉,,984,+2498,8129,39,25,
260000700000004312,アミューズ千葉,,868,+2683,8011,39,16,
260000700000004312,アミューズ千葉,,869,+1029,6414,25,19,
260000700000004312,アミューズ千葉,,870,+808,6285,25,19,
260000700000004312,アミューズ千葉,,871,+2279,7956,35,21,
260000700000004312,アミューズ千葉,,872,+2141,7932,33,30,
260000700000004312,アミューズ千葉,,873,+709,7855,31,18,
260000700000004312,アミューズ千葉,,822,+830,5481,0,20,
260000700000004312,アミューズ千葉,,823,+2574,6177,0,22,
260000700000004312,アミューズ千葉,,824,-2328,7150,0,29,
260000700000004312,アミューズ千葉,,825,+2093,6107,0,24,
260000700000004312,アミューズ千葉,,826,-2500,7069,0,35,
260000700000004312,アミューズ千葉,,827,+6815,7299,0,27,
260000700000004312,アミューズ千葉,,828,+1331,7772,0,25,
260000700000004312,アミューズ千葉,,774,+4846,7377,0,40,
260000700000004312,アミューズ千葉,,775,+1210,6704,0,33,
260000700000004312,アミューズ千葉,,776,+8393,6875,0,28,
260000700000004312,アミューズ千葉,,674,-1210,8112,0,16,
260000700000004312,アミューズ千葉,,675,-2520,9688,0,29,
260000700000004312,アミューズ千葉,,676,+6530,9362,0,19,
260000700000004312,アミューズ千葉,,677,-1286,8545,0,23,
260000700000004312,アミューズ千葉,,678,+18604,7188,0,12,
260000700000004312,アミューズ千葉,,679,+952,8626,0,22,
260000700000004312,アミューズ千葉,,680,+4116,8751,0,18,
260000700000004312,アミューズ千葉,,681,+4184,9369,0,20,
260000700000004312,アミューズ千葉,,1094,+7607,5336,0,13,
260000700000004312,アミューズ千葉,,1095,-140,7569,0,24,
260000700000004312,アミューズ千葉,,1096,+13016,7446,0,16,
260000700000004312,アミューズ千葉,,1097,+632,7738,0,23,
260000700000004312,アミューズ千葉,,1098,+2940,7091,0,22,
260000700000004312,アミューズ千葉,,1099,+4081,7115,0,19,
260000700000004312,アミューズ千葉,,1100,+3958,7074,0,23,
260000700000004312,アミューズ千葉,,1101,-1019,8260,0,27,
260000700000004312,アミューズ千葉,,1102,+3394,7763,0,18,
260000700000004312,アミューズ千葉,,1103,+12338,6704,0,16,
260000700000004312,アミューズ千葉,,1104,+5447,7341,0,17,
260000700000004312,アミューズ千葉,,1105,+8633,6496,0,20,
260000700000004312,アミューズ千葉,,1106,+2575,7516,0,28,
260000700000004312,アミューズ千葉,,1107,+6147,7096,0,27,
260000700000004312,アミューズ千葉,,1108,+2230,7193,0,23,
260000700000004312,アミューズ千葉,,1109,+4946,7077,0,22,
260000700000004312,アミューズ千葉,,1110,+56,7714,0,27,
260000700000004312,アミューズ千葉,,1111,+12690,7718,0,22,
260000700000004312,アミューズ千葉,,817,+9548,6934,0,23,
260000700000004312,アミューズ千葉,,818,+2270,6450,0,18,
260000700000004312,アミューズ千葉,,819,+1111,7040,0,17,
260000700000004312,アミューズ千葉,,822,+6165,6957,0,21,
260000700000004312,アミューズ千葉,,823,-18,6209,0,22,
260000700000004312,アミューズ千葉,,824,-3148,7171,0,32,
260000700000004312,アミューズ千葉,,825,+4302,5966,0,19,
260000700000004312,アミューズ千葉,,826,+3589,8093,0,34,
260000700000004312,アミューズ千葉,,827,+777,6500,0,23,
260000700000004312,アミューズ千葉,,828,-29,8177,0,40,
260000700000004312,アミューズ千葉,,1065,+3954,8809,95,20,
260000700000004312,アミューズ千葉,,1066,+6652,8726,114,18,
260000700000004312,アミューズ千葉,,1067,+3018,8749,91,22,
260000700000004312,アミューズ千葉,,1068,+1331,8316,82,16,
260000700000004312,アミューズ千葉,,1069,+3888,8964,101,24,
260000700000004312,アミューズ千葉,,1070,+4793,8919,105,18,
260000700000004312,アミューズ千葉,,1071,+3949,9117,94,22,
260000700000004312,アミューズ千葉,,1072,+4750,9058,102,23,
260000700000004312,アミューズ千葉,,1073,+2156,6725,65,21,
